Supply,Amount,Unit Price,Total Price,Artist Fee,Platform Fee
7895800.0,39700,29.881017,1189273.681347,178391.05220205,59463.68406735
7935600.0,39800,29.986831,1196483.7805,179472.567075,59824.18902500001
7975500.0,39900,30.092752,1203719.308083,180557.89621244997,60185.965404149996
8015500.0,40000,30.19878,1210980.289649,181647.04344734998,60549.01448245
8055600.0,40100,30.304914,1218266.750713,182740.01260695,60913.337535650004
8095800.0,40200,30.411153,1225578.71675,183836.80751249997,61278.9358375
8136100.0,40300,30.517499,1232916.213197,184937.43197955002,61645.81065985001
8176500.0,40400,30.623951,1240279.265456,186041.8898184,62013.96327280001
8217000.0,40500,30.730509,1247667.898888,187150.1848332,62383.3949444
8257600.0,40600,30.837172,1255082.138817,188262.32082254998,62754.106940850004
8298300.0,40700,30.94394,1262522.010531,189378.30157965,63126.100526550006
8339100.0,40800,31.050814,1269987.539279,190498.13089184999,63499.376963949995
